#{"t_start": 1776225126.99356, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-175.422223,138,1.330368
-515.320613,64,1.584768
-768.863273,66,1.843721
-596.57652,75,2.132393
-598.554354,56,2.349015
-788.712158,78,2.653679
-674.488229,68,2.924405
-666.428015,65,3.179117
-632.042273,70,3.467958
-927.066032,86,3.817023
-1024.848052,158,4.457268
-404.672214,74,4.793698
-520.114348,81,5.178358
-557.705511,74,5.487427
-429.367614,57,5.725846
-418.499441,68,6.02207
-505.096163,98,6.43801
-294.323053,79,6.756347
-242.724758,77,7.082326
-303.025216,105,7.503008
-223.294142,73,7.824881
-262.785415,130,8.362557
-258.447632,130,8.932049
-264.603845,126,9.487119
-202.402704,161,10.24134
-177.284781,91,10.643969
-391.526274,99,11.082553
-328.829964,108,11.553859
-39.708702,106,12.028141
-245.83124,111,12.512374
-264.125138,102,12.957698
-293.700658,95,13.375172
-274.647761,101,13.840831
-261.684862,122,14.377174
-288.176674,119,14.880694
-151.86177,143,15.550098
-218.807851,119,16.069124
-100.752071,143,16.736697
-44.783916,315,18.192657
-123.008919,97,18.602942
-171.329182,161,19.284436
-189.055924,203,20.193671
-148.47926,153,20.889328
-201.872353,128,21.904134
-89.23356,76,22.493169
-168.23245,95,23.259087
-128.146325,173,24.742601
-132.321539,848,28.899165
-149.513051,268,30.074292
-145.093468,154,30.730652
-186.567521,227,31.714161
-221.188526,258,32.870827
-160.723303,267,34.056886
-158.279726,235,35.090917
-302.406724,280,36.321073
-11.404516,294,37.613988
-242.913311,145,38.261114
-33.517711,305,39.679361
-77.479273,210,40.675182
-26.619197,1000,45.291408
-104.610418,1000,49.480935
-142.935515,229,50.421198
-149.014121,242,51.403326
-109.744173,155,52.031088
-82.810297,140,52.600873
-66.380404,148,53.240166
-182.179619,181,54.025572
-433.148248,993,58.066101
-142.395255,409,59.778692
-162.600806,204,60.745752
-306.622853,563,63.338382
-52.890917,181,64.197689
-52.061939,127,64.781819
-121.13327,136,65.395163
-120.083631,258,66.580332
-139.588426,289,67.722695
-81.093514,334,69.091486
-149.063189,491,71.097639
-105.17554,141,71.662422
-113.06001,1000,76.062783
-203.716248,572,78.752178
-87.762123,314,80.161685
19.618518,1000,84.284587
-243.336751,206,85.078798
-33.457696,1000,89.328169
-71.618675,1000,93.754183
-147.82746,357,95.330817
-94.796855,1000,99.498158
-101.348558,194,100.284212
-108.598321,201,101.167984
-40.373164,139,101.808029
-143.839083,185,102.630942
-166.382793,574,105.173925
-376.647245,883,108.844638
-111.437629,1000,112.574914
-54.885076,1000,117.028019
-41.291335,131,117.621952
24.050858,1000,122.084202
-17.868725,80,122.40194
-29.755042,135,122.953979
-44.210057,196,123.750666
21.331526,293,124.942569
-104.960583,413,126.583982
-45.845967,167,127.285695
-149.164533,563,129.703453
-9.407546,234,130.748861
-182.598355,575,133.263009
-18.960707,118,133.772943
-123.954142,619,136.597327
-37.420285,1000,141.108805
-180.647667,775,144.596148
-41.531619,1000,149.155382
-32.635007,228,150.199545
-256.602518,85,150.611211
2.750122,1000,155.131418
6.28218,1000,159.715472
-263.289646,684,162.817032
-9.859147,1000,167.40757
18.2876,1000,171.915842
-40.927437,1000,176.472088
8.465209,1000,181.03041
-15.963857,1000,185.629098
41.995904,1000,190.390628
52.838214,1000,194.886214
24.417867,88,195.228334
-115.238439,117,195.678646
-92.508694,1000,199.560916
-206.197325,832,203.3361
237.190182,696,206.479904
-60.838506,196,207.277243
171.712689,637,209.885004
-131.151657,1000,214.043336
-83.143491,140,214.643965
-29.405734,1000,219.033199
-69.281163,684,221.794089
-207.604038,121,222.27718
-59.14408,315,223.510941
-26.35688,1000,227.752504
-106.334441,142,228.413481
-282.589195,122,228.995986
-82.626086,154,229.667587
15.139273,1000,234.042477
-57.185834,1000,237.938615
-14.55678,1000,242.3726
-160.367528,116,242.949073
196.34666,514,245.398577
-204.175756,117,245.96349
-41.25807,1000,250.026522
-38.74904,1000,254.186172
-344.170061,776,257.813553
-442.766952,121,258.371778
-148.111733,139,258.949329
-71.809202,138,259.546469
8.556363,1000,263.782014
109.630259,997,268.036335
-94.773049,157,268.750921
-31.792585,1000,273.163064
-88.44985,154,273.813542
-60.619598,1000,277.665293
15.413702,175,278.341623
-1.220861,162,278.952397
100.578384,850,282.875194
224.492855,515,285.347765
-46.378112,1000,289.947118
-317.063549,609,292.585169
-62.826885,171,293.333499
-1.799764,172,294.18492
159.080905,761,297.678818
-207.197108,661,300.609236
201.261078,482,302.805481
-45.873584,183,303.626811
234.651627,250,304.774669
256.965517,405,306.596308
-12.519584,235,307.63663
199.794305,264,308.859314
210.328586,309,310.289136
260.469886,569,312.892945
-31.598251,245,313.998814
-358.163253,690,316.87206
248.05079,602,319.181509
18.389243,203,319.962566
-46.40848,301,321.155589
-38.808784,177,321.840588
-19.168081,169,322.57562
-32.717922,1000,327.195197
-61.950716,1000,331.415699
-205.789096,199,332.169089
-54.931797,249,333.118128
-52.895099,273,334.157806
-274.424634,176,334.827064
186.514666,314,336.089252
-8.817541,201,336.991963
-51.032419,1000,341.353429
-77.209428,1000,345.823456
-32.569223,254,346.980306
-55.428845,1000,351.43373
-29.677393,129,351.980418
-58.565562,1000,356.307925
293.967278,481,358.319547
-21.546034,1000,362.513719
-13.597775,179,363.284736
-243.244048,530,365.791
41.286083,177,366.635238
132.467682,614,369.505312
-43.452896,1000,373.664497
53.363178,125,374.216639
-131.0036,495,376.564637
-39.697245,1000,380.935538
-20.495432,1000,385.423773
231.729072,364,387.090693
203.630643,513,389.389746
-47.668368,1000,393.957118
-0.606806,1000,398.16955
-35.417448,1000,402.718863
-19.661946,1000,407.027555
-40.974037,145,407.672467
193.381806,864,411.441901
185.157284,725,414.60559
218.147146,775,417.791897
277.169013,219,418.714578
257.787541,370,420.30802
-65.637958,85,420.70125
267.155212,256,421.837111
272.371546,211,422.650219
58.036091,183,423.369462
-22.796242,1000,427.541499
39.767196,107,428.012416
-1.923916,99,428.452348
250.609255,200,429.370265
16.51315,117,429.93487
-168.341326,655,432.885379
29.896285,170,433.614858
258.113931,237,434.617226
235.810768,520,436.818993
25.058111,142,437.413325
-18.446699,116,437.915035
