#{"t_start": 1776543431.8536737, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-182.619404,135,1.710485
-637.730829,71,2.451378
-36.857162,242,5.035503
-214.425601,154,6.631432
-234.148881,220,8.858953
-377.044375,150,10.32302
-233.526139,279,13.340709
-338.86136,165,15.043095
-226.89981,124,16.360003
-166.68184,76,17.191019
-277.762483,97,18.229938
-316.918365,185,20.127881
-92.314547,156,21.809902
-222.112063,166,23.561598
-264.218854,108,24.629033
-245.637592,201,26.562249
-193.733594,358,30.006343
-184.662347,396,34.682428
-475.951107,278,38.253814
-81.567317,239,40.619846
-267.319523,146,42.086826
-289.305837,120,43.303626
-250.982267,165,45.01302
-263.86923,183,46.960968
-241.259929,111,48.120473
-107.971574,74,49.038635
-176.611231,82,49.984731
6.012093,222,52.362592
-39.776163,200,54.447476
-256.015551,524,60.077983
-33.516676,154,62.031146
-165.753379,268,65.371832
-155.665686,213,67.579777
-16.506618,250,70.022482
-130.400871,220,72.16207
-175.169366,385,76.455873
-2.653025,1000,87.510401
-181.855713,786,96.404168
-66.47511,223,98.858496
-192.580659,445,103.337118
-97.829859,192,105.28578
-178.194278,855,114.84007
120.960536,716,122.671403
-77.467071,262,125.681814
207.757626,786,134.485445
251.954869,564,141.053914
-79.81053,291,144.633317
-18.166269,308,148.452655
-215.374662,254,151.424832
9.597349,240,154.229232
-50.505598,311,157.851116
30.791541,320,161.631047
-38.047823,251,164.645858
-21.191539,208,167.108828
-39.447709,322,170.848326
6.548636,279,173.802388
33.895419,293,176.888593
-262.077867,253,179.962764
12.964188,234,182.950947
-341.63529,311,186.499155
-35.240985,280,189.593238
-35.059601,343,193.407096
-65.907972,426,198.144669
-1.54556,272,201.319618
-33.37545,310,204.865387
-3.370067,285,208.128092
-6.020228,431,212.990352
-121.222778,343,216.98794
-22.083836,308,220.272863
-142.056754,459,225.486663
218.076038,548,232.079418
-63.814613,449,237.032192
150.603803,805,246.311811
23.851858,211,248.626453
-36.282721,372,252.604963
-1.636706,270,255.602526
-209.84967,175,257.727727
32.332213,188,260.025019
-270.27415,577,266.995005
4.616938,252,269.914136
-34.513789,270,272.996785
224.133713,393,277.378673
-24.033862,296,280.637178
-110.115764,388,285.187489
52.76847,214,287.843468
243.940164,478,293.265758
10.024563,214,295.516638
179.621496,374,299.386174
243.612864,312,302.640568
245.460939,407,307.167291
144.950185,522,312.931806
-144.257683,476,318.243863
213.930959,461,323.816628
-79.554476,313,327.119306
231.115377,507,332.498965
264.923339,283,335.587878
203.208381,437,340.298483
245.108421,305,343.647983
264.582243,288,346.709526
30.98121,219,349.027974
25.308973,188,351.126278
200.713302,536,357.661932
163.384608,643,364.337313
231.979276,317,367.48802
174.413018,676,375.116691
227.247358,449,380.220848
180.90875,457,384.897226
-71.558251,1000,396.090104
19.628554,164,397.798844
203.046706,453,402.575274
27.000911,165,404.314897
220.896724,474,409.627407
-4.191152,217,412.08505
130.722666,803,421.179043
158.020551,875,430.414057
251.492507,318,433.735503
-46.333546,131,435.262245
-95.297269,265,438.270059
177.874947,502,444.278394
-418.454275,509,450.139305
-55.810681,108,451.24579
-26.897034,90,452.156178
-41.882231,114,453.314435
225.878133,516,458.945269
-44.271318,141,460.477946
-4.919088,117,461.810664
222.311859,428,467.080255
-71.021164,121,468.454494
-105.350707,78,469.375019
267.053071,333,473.180616
249.189353,237,475.896009
-2.258067,141,477.367129
230.758347,460,482.480756
-86.064801,223,485.317042
22.970629,111,486.746642
-506.607199,110,488.043215
-272.981026,231,490.593102
-79.429,115,491.798733
-172.570819,133,493.183969
-42.683957,149,494.734509
-373.604057,399,499.363331
246.143195,380,503.948428
288.918631,315,507.694106
278.827478,321,511.529538
252.069743,564,518.244835
226.333451,268,521.564342
215.748837,259,524.76973
254.296328,251,527.710211
-11.001165,144,529.354866
-30.422714,269,532.254561
250.100197,232,535.171837
-65.122084,113,536.638091
266.003375,457,541.956094
185.733991,911,551.510536
282.864924,376,555.76965
257.88942,210,558.093945
153.711202,922,568.605521
244.196392,281,572.146501
14.601346,231,574.853398
244.767915,276,577.900509
261.729057,295,581.187714
259.974923,242,583.968992
-251.89708,831,593.36003
242.74083,290,596.855091
157.483041,850,606.914473
268.419281,281,610.05683
260.575053,279,613.175953
-395.346117,415,618.033708
291.492617,304,621.76862
179.924117,235,624.334835
262.629457,271,627.136747
274.983644,325,630.659093
191.289445,659,637.904674
202.332374,331,641.822716
188.432955,242,644.763811
220.53067,304,648.296024
188.001545,270,651.299742
297.271032,264,654.079537
167.10832,348,657.739819
248.143141,282,661.02091
262.982459,373,665.264126
280.423244,238,667.793547
182.300488,583,674.455277
288.550064,265,677.530199
3.021304,165,679.255809
273.975431,299,682.432377
256.332662,193,684.522955
263.820602,261,687.538346
263.725091,182,689.567815
237.596927,203,691.758805
249.036171,202,693.952444
-221.765061,192,696.067405
171.884813,838,705.07344
-206.194272,416,709.851428
7.68195,158,711.619647
-367.236822,297,714.883942
239.637407,211,717.201833
278.786096,177,719.180115
281.069639,179,721.176077
280.675283,401,725.868759
4.076477,161,727.780787
284.931725,321,731.638798
292.142107,261,734.398851
175.945976,570,740.732601
255.578463,171,742.677971
272.622783,205,745.070817
281.144992,155,746.72459
280.762417,153,748.334058
243.9533,173,750.156475
-252.772231,583,756.419082
273.335809,199,758.559812
236.787757,188,760.743201
23.666636,146,762.434225
222.025712,202,764.741539
285.299779,228,767.29548
265.957717,163,769.185194
268.435384,201,771.619195
-20.571319,147,773.28493
258.973534,211,775.605797
-15.545233,275,778.465214
276.927431,288,781.552035
239.609635,184,783.568163
203.947732,193,785.742562
-86.20809,89,786.758708
251.127496,236,789.486269
-49.018931,1000,800.882268
252.358872,188,802.957273
-33.297137,183,804.988256
282.695161,156,806.731922
277.957437,145,808.381269
244.719249,386,812.38366
-19.295536,179,814.272261
-219.957073,272,817.69557
245.75542,198,820.262385
268.134316,220,822.64149
252.084055,316,825.880368
33.514507,132,827.243807
231.014739,493,832.996998
-364.347351,280,836.045159
73.655455,1000,847.397081
275.781404,292,850.504935
278.548336,214,852.837883
264.934528,178,854.75989
272.352893,355,858.886518
249.348443,181,860.902848
250.874546,208,863.390988
283.6009,181,865.519849
251.25892,357,869.727813
178.178463,463,875.438989
280.552916,329,879.305012
241.598232,300,882.705506
-128.540776,442,887.756385
256.199385,255,890.851147
248.864738,589,897.183213
248.058616,243,899.77021
281.88056,206,902.025852
231.686008,231,904.50955
230.638307,237,907.281394
235.329171,275,911.960904
233.610932,460,917.475474
3.045364,196,919.390354
212.78952,303,922.74622
242.421626,207,925.114864
249.994584,294,928.461679
-17.007692,1000,938.730344
254.612917,216,940.915971
8.27663,80,941.78196
248.332056,191,943.980692
239.962713,194,946.171936
213.701356,624,953.070901
277.442109,188,955.227273
288.239775,339,959.355569
231.145175,249,962.218272
241.195092,558,968.879398
260.07967,425,973.948206
196.971701,632,981.322105
76.700543,923,992.169816
217.010857,362,996.582159
259.208085,348,1000.776931
227.778964,343,1004.533531
28.177627,1000,1015.785947
223.784423,235,1018.508232
266.571798,231,1021.200367
226.262409,319,1024.909883
262.563607,270,1028.023781
295.114397,217,1030.571273
255.060282,235,1033.260886
-157.94197,835,1042.271864
267.422815,222,1044.613547
-391.523557,798,1055.634415
245.629423,203,1058.108358
263.753463,264,1061.148067
224.046903,399,1065.739492
273.934819,184,1067.711574
275.496046,234,1070.3312
195.735922,261,1073.420588
-134.717688,459,1078.585779
-313.212029,784,1086.797654
270.787905,219,1089.001515
-69.536048,647,1096.85451
-103.01877,1000,1108.007229
20.012424,111,1109.255279
283.853433,258,1112.335568
274.448504,207,1114.609684
271.141032,257,1117.444118
248.221831,208,1119.584514
257.666078,188,1121.441164
265.179857,248,1123.87642
223.650938,281,1127.216969
209.055485,390,1131.665894
154.979683,638,1139.047526
250.086541,214,1141.396911
274.62598,192,1143.419554
-41.504689,1000,1154.188871
291.630695,127,1155.825405
-31.454495,1000,1167.765913
-112.430077,768,1175.760798
238.005008,181,1177.755997
236.203266,207,1180.002351
245.543728,969,1191.387395
248.345361,219,1193.87086
259.434802,260,1196.734678
